ParticipantID,Puzzle,Xpos,Ypos,Zpos,Xrot,Yrot,Zrot,Xscale,Yscale,Zscale
-01,1,2.577992,2.475614,4.89208,0,0,0.4226183,0.6468,0.6468,0.01
-01,2,1.809203,2.117237,4.892577,0,0,0.6087614,0.2772,0.2772,0.01
-01,3,2.103157,2.702617,4.893716,0,0,0.2588191,0.3234,0.3234,0.01
-01,4,1.642532,1.369448,4.89387,0,0,0.3826835,0.4158,0.4158,0.01
-01,5,2.143513,2.111025,4.894375,0,0,0.7372773,0.4158001,0.4158001,0.01
-01,6,2.851773,1.851074,4.894467,0,0,0.2588191,0.2772,0.2772,0.01
-01,7,1.993016,2.461478,4.894697,0,0,0.6755902,0.2772001,0.2772001,0.01
-01,8,1.774688,1.560239,4.894781,0,0,0.6755902,0.5544003,0.5544003,0.01
-01,9,2.10824,2.590915,4.89488,0,0,0.9659259,0.4158003,0.4158003,0.01
-01,10,1.795068,2.082284,4.89506,0,0,0.5,0.3234,0.3234,0.01
-01,11,2.378752,1.523426,4.895499,0,0,0.9990482,0.6006,0.6006,0.01
-01,12,2.333486,1.976858,4.895626,0,0,0.1305263,0.6006,0.6006,0.01
-01,13,2.141329,2.202063,4.895994,0,0,0.04361953,0.6006,0.6006,0.01
-01,14,1.894617,1.448192,4.896511,0,0,0.8660254,0.3696001,0.3696001,0.01
-01,15,1.65273,2.550261,4.897675,0,0,0.2164396,0.5082,0.5082,0.01
-01,16,2.290308,1.977834,4.897942,0,0,0.5735765,0.6468,0.6468,0.01
